retn_code,fdgrp_cd,retn_desc,nutr_no,nutr_desc,retn_factor
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",401,"Vitamin C, total ascorbic acid",0.85
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",404,Thiamin,0.75
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",405,Riboflavin,1.0
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",406,Niacin,0.95
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",415,Vitamin B-6,0.65
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",417,"Folate, total",0.7
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",431,Folic acid,0.7
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",432,"Folate, food",0.7
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",421,"Choline, total",0.7
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",418,Vitamin B-12,0.65
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",318,"Vitamin A, IU",0.8
